AAME AAN AAP AAPL AAWW ABBV ABC ABM ABTX AC ACGL ACH ACHC ACLS ACM ACNB ACTG ADS ADT AE
EBSB EBTC EC ECHO ECPG ED EDN EDUC EEX EFBI EFSC EGBN EGLE EGRX EHC EIG ELF ELVT ELY EMCI
EMMS EMN ENIA ENS ENVA EOG EPC EPE EQNR ERA ERF ERJ EROS ESNT ESTE ESTR ESXB ETFC ETR EVA
EVBN EVOL EVR EVRI EVTC EWBC EXEL EXPE EXPR EZPW F FAF FANG FBP FBSS FCAP FCBC FCCO FCCY FCF
FCN FCNCA FCX FDC FDEF FDP FELE FELP FF FFIC FFIV FFWM FGBI FHB FHN FISI FITB FIX FL FLIC
FLNT FLOW FMBH FMBI FMNB FN FNB FNWB FOE FONR FORK FOSL FRAC FRC FRD FRGI FRME FSB FSBW FSFG
FSTR FTEK FTR FTSI FUL FULT FWRD GATX GBL GBLI GCBC GCO GDEN GDI GDOT GEF GEN GFED GFN GGAL
GHL GIB GLBS GLBZ GLDD GLOP GLW GM GME GMS GNC GNE GNK GNTX GNW GOGL GOL GPI GPOR GPP
GPRK GRAM GSB GSBC GSKY GSL GTE GTN GTX GWB GWR HAFC HBAN HBCP HBMD HBNC HCA HCC HCFT HCHC
HCI HDS HDSN HEAR HEES HES HESM HF HFC HI HIBB HIFR HIFS HIG HIW HLF HLTH HMHC HMN HMNF
HMST HNNA HNP HNRG HOG HOLI HOLX HOMB HONE HOPE HPQ HPR HRB HRI HRTG HSIC HSII HTBK HTH HTLF
HTZ HUD HUN HURN HWBK HWC HWKN IBCP IBKC IBM IBOC ICBK ICHR ICON IEA IEP IHC III IMAX IMH
IMI IMKTA IMMR IMO INBK INFU INOD INSE INTG INTT INVA INWK IO IONS IP IPG IPI ISBC ISDR ISIG
ITP ITUB IX JAG JAKK JASN JAZZ JBLU JCOM JD JELD JILL JMP JNPR JOB JRSH JVA JWN KBAL KBR
KEY KFRC KGJI KINS KLIC KMI KMPR KNSL KOF KOS KOSS KSS KSU KT L LABL LAD LARK LAZ LBAI
LBRT LCI LCNB LDL LDOS LEA LEE LEXEA LFC LFVN LGCY LGF-A LH LINK LION LITE LIVE LKFN LKQ LKSD
LLEX LM LMB LOGM LONE LPI LPLA LRCX LRN LSTR LSXMA LTM LTRPA LTS LUV LXFR M MAN MANU MAS
MATW MATX MBUU MCB MCBC MCEP MCF MCFT MCK MCRN MCS MCY MD MDCA MEDP MEET MEOH MERC MET MFC
MFIN MFNC MFSF MG MGA MGI MGRC MHLD MIK MINI MKL MKSI MLI MLVF MMAC MMI MMS MN MNK MOFG
MOMO MOV MPC MR MRLN MRO MRT MRTN MS MSBI MSGN MSI MSL MT MTBC MTDR MTG MTH MTOR MTX
MTZ MU MUSA MXL MYE MYL NANO NATR NAVG NAVI NBN NBTB NC NCBS NCMI NCR NEN NEP NGHC NHLD
NICK NKSH NKTR NL NLSN NM NMIH NOG NOMD NPO NPTN NRIM NSA NSYS NTAP NTB NTCT NTIP NTN NTRS
NTWK NUAN NVGS NVR NWFL NWLI NX NXPI NXST OAS OBNK OCN ODP OFG OHI OLN OMAB OMC OMF OMN
ON ONDK OPB OPOF OPY ORCL ORI OSBC OSK OSUR OTEL OTEX OTIV OVBC OVLY OXY OZK PAA PACW PAGP
PANL PATI PATK PB PBCT PBF PBH PBHC PBI PBR PCAR PCMI PCOM PDCE PDS PE PEBK PEBO PENN PERI
PFBC PFBI PFG PFGC PFIE PFIS PFS PFSW PGC PGR PGRE PGTI PH PHX PIH PINC PJC PKBK PKG PKX
PLAY PLBC PLT PNBK PNC PNFP PPBI PPIH PQG PRFT PRGO PRI PRMW PROV PRTS PRU PSDO PTNR PTSI PTVCB
PUB PVBC PVH PW PXD QCRH QEP QHC QIWI QRHC QRTEA QRVO RBC RBCAA RC RCII RCKY RDN RDNT RDS-A
REGI REGN REI REX REZI RF RFP RGA RH RHE RHI RJF RLGY RLJ RM RMAX RMBS RMR ROCK ROSE
RRD RRGB RRR RS RTW RVSB RXN RYAM S SAL SALM SAMG SASR SATS SAUC SB SBCF SBFG SBGI SBGL
SBH SBLK SBNY SBOW SBS SBUX SCHN SCHW SCI SCKT SCVL SD SDLP SDPI SEDG SEIC SENEA SF SFBC SFBS
SFLY SFNC SFST SG SGC SGH SGMS SGRY SHBI SHI SHOS SID SIFI SIG SIGI SIVB SJR SKIS SKT SKX
SKYW SMBC SMMF SMTA SMTC SNBR SNDR SNE SNFCA SNMP SNP SNV SONA SORL SP SPKE SPLP SPN SPR SPTN
SPWH SPXC SQBG SRCE SRCI SRLP SSB SSFN SSKN SSL SSNT SSTK SSW ST STAF STAY STBA STL STLD STMP
STNG STRL STRM STT SU SUMR SUP SUPN SUPV SVBI SXC SYF SYKE SYMC SYNA SYNH T TAC TACO TANH
TAP TARO TAST TAT TAYD TBI TBK TCF TCFC TCP TDS TECD TECK TG TGA TGC TGNA THC THFF THO
THRM THS TIPT TITN TIVO TKC TLF TLK TLRD TM TMK TMP TNET TOL TOO TOWN TPH TPRE TRCB TRIP
TRMK TRS TRST TRT TRV TSBK TSC TSE TSEM TSM TSQ TTEC TTEK TTMI TURN TUSK TV TVPT TVTY TWNK
TWO TXT UAL UAN UBSI UCBI UCFC UEPS UFS UHS UMBF UMC UMPQ UNM UNTY UONEK URBN URI USAK USB
USCR USM USNA UVE VALE VCTR VEC VEDL VIAB VIRT VLO VLRS VLY VOXX VPG VRA VRS VRTV VSI VST
VSTO VTSI VYGR WAGE WAL WASH WBA WCC WDC WDR WF WFC WHG WHLM WILC WINA WIRE WIT WLDN WLFC
WLK WLKP WLL WMB WMC WMS WNC WRK WRLD WSBC WSBF WSM WSTG WSTL WTBA WTFC WTI WU WW XAN
XEC XELB XOG XPER XPO XRX YPF YRCW ZBRA ZION ZUMZ
